ICD-10-CM Diagnosis Code & Name	Uniqe Patient Count
A23.9 Brucellosis, unspecified	6
A24.0 Glanders	1
A25.1 Streptobacillosis	2
A26.0 Cutaneous erysipeloid	12
A26.7 Erysipelothrix sepsis	1
A26.9 Erysipeloid, unspecified	1
A27.81 Aseptic meningitis in leptospirosis	4
A27.9 Leptospirosis, unspecified	1
A28.0 Pasteurellosis	23
A28.1 Cat-scratch disease	12
A28.8 Oth zoonotic bacterial diseases, not elsewhere classified	2
A30.2 Borderline tuberculoid leprosy	1
A31.0 Pulmonary mycobacterial infection	134
A31.1 Cutaneous mycobacterial infection	4
A31.2 Dissem mycobacterium avium-intracellulare complex (DMAC)	7
A31.8 Other mycobacterial infections	31
A31.9 Mycobacterial infection, unspecified	80
A32.9 Listeriosis, unspecified	1
A35 Other tetanus	11
A36.9 Diphtheria, unspecified	2
A37.00 Whooping cough due to Bordetella pertussis without pneumonia	3
A37.10 Whooping cough due to Bordetella parapertussis w/o pneumonia	1
A37.90 Whooping cough, unspecified species without pneumonia	48
A37.91 Whooping cough, unspecified species with pneumonia	1
A38.0 Scarlet fever with otitis media	1
A38.8 Scarlet fever with other complications	55
A38.9 Scarlet fever, uncomplicated	156
A39.0 Meningococcal meningitis	6
A39.1 Waterhouse-Friderichsen syndrome	1
A39.53 Meningococcal pericarditis	1
A39.81 Meningococcal encephalitis	1
A39.9 Meningococcal infection, unspecified	3
A40.0 Sepsis due to streptococcus, group A	59
A40.1 Sepsis due to streptococcus, group B	59
A40.3 Sepsis due to Streptococcus pneumoniae	109
A40.8 Other streptococcal sepsis	101
A40.9 Streptococcal sepsis, unspecified	117
A41.01 Sepsis due to Methicillin susceptible Staphylococcus aureus	274
A41.02 Sepsis due to Methicillin resistant Staphylococcus aureus	176
A41.1 Sepsis due to other specified staphylococcus	104
A41.2 Sepsis due to unspecified staphylococcus	54
A41.3 Sepsis due to Hemophilus influenzae	27
A41.4 Sepsis due to anaerobes	63
A41.50 Gram-negative sepsis, unspecified	186
A41.51 Sepsis due to Escherichia coli [E. coli]	469
A41.52 Sepsis due to Pseudomonas	92
A41.53 Sepsis due to Serratia	9
A41.59 Other Gram-negative sepsis	184
A41.81 Sepsis due to Enterococcus	130
A41.89 Other specified sepsis	408
A41.9 Sepsis, unspecified organism	5,107
A42.0 Pulmonary actinomycosis	9
A42.1 Abdominal actinomycosis	2
A42.2 Cervicofacial actinomycosis	5
A42.7 Actinomycotic sepsis	1
A42.89 Other forms of actinomycosis	20
A42.9 Actinomycosis, unspecified	141
A43.0 Pulmonary nocardiosis	8
A43.8 Other forms of nocardiosis	2
A43.9 Nocardiosis, unspecified	8
A44.9 Bartonellosis, unspecified	6
A46 Erysipelas	107
A48.0 Gas gangrene	38
A48.1 Legionnaires' disease	11
A48.3 Toxic shock syndrome	13
A48.8 Other specified bacterial diseases	7
A49.01 Methicillin suscep staph infection, unsp site	490
A49.02 Methicillin resis staph infection, unsp site	915
A49.1 Streptococcal infection, unspecified site	178
A49.2 Hemophilus influenzae infection, unspecified site	20
A49.3 Mycoplasma infection, unspecified site	201
A49.8 Other bacterial infections of unspecified site	465
A49.9 Bacterial infection, unspecified	545
A50.02 Early congenital syphilitic osteochondropathy	2
A50.2 Early congenital syphilis, unspecified	1
A50.40 Late congenital neurosyphilis, unspecified	1
A50.59 Other late congenital syphilis, symptomatic	1
A50.9 Congenital syphilis, unspecified	1
A51.0 Primary genital syphilis	15
A51.2 Primary syphilis of other sites	2
A51.31 Condyloma latum	6
A51.39 Other secondary syphilis of skin	2
A51.49 Other secondary syphilitic conditions	13
A51.5 Early syphilis, latent	6
A52.03 Syphilitic endocarditis	1
A52.04 Syphilitic cerebral arteritis	1
A52.06 Other syphilitic heart involvement	1
A52.11 Tabes dorsalis	4
A52.15 Late syphilitic neuropathy	1
A52.16 Charcot's arthropathy (tabetic)	44
A52.17 General paresis	4
A52.19 Other symptomatic neurosyphilis	1
A52.2 Asymptomatic neurosyphilis	1
A52.3 Neurosyphilis, unspecified	14
A52.71 Late syphilitic oculopathy	1
A52.79 Other symptomatic late syphilis	1
A52.8 Late syphilis, latent	8
A52.9 Late syphilis, unspecified	1
A53.0 Latent syphilis, unspecified as early or late	49
A53.9 Syphilis, unspecified	86
A54.00 Gonococcal infection of lower genitourinary tract, unsp	2
A54.01 Gonococcal cystitis and urethritis, unspecified	1
A54.02 Gonococcal vulvovaginitis, unspecified	3
A54.03 Gonococcal cervicitis, unspecified	5
A54.09 Other gonococcal infection of lower genitourinary tract	2
A54.23 Gonococcal infection of other male genital organs	1
A54.24 Gonococcal female pelvic inflammatory disease	2
A54.29 Other gonococcal genitourinary infections	2
A54.30 Gonococcal infection of eye, unspecified	1
A54.39 Other gonococcal eye infection	1
A54.5 Gonococcal pharyngitis	1
A54.9 Gonococcal infection, unspecified	217
A56.00 Chlamydial infection of lower genitourinary tract, unsp	6
A56.01 Chlamydial cystitis and urethritis	2
A56.02 Chlamydial vulvovaginitis	3
A56.09 Other chlamydial infection of lower genitourinary tract	6
A56.11 Chlamydial female pelvic inflammatory disease	11
A56.19 Other chlamydial genitourinary infection	3
A56.2 Chlamydial infection of genitourinary tract, unspecified	3
A56.4 Chlamydial infection of pharynx	1
A56.8 Sexually transmitted chlamydial infection of other sites	22
A57 Chancroid	3
A58 Granuloma inguinale	18
A59.00 Urogenital trichomoniasis, unspecified	10
A59.01 Trichomonal vulvovaginitis	178
A59.03 Trichomonal cystitis and urethritis	11
A59.09 Other urogenital trichomoniasis	29
A59.8 Trichomoniasis of other sites	4
A59.9 Trichomoniasis, unspecified	181
A60.00 Herpesviral infection of urogenital system, unspecified	714
A60.01 Herpesviral infection of penis	84
A60.02 Herpesviral infection of other male genital organs	42
A60.03 Herpesviral cervicitis	4
A60.04 Herpesviral vulvovaginitis	287
A60.09 Herpesviral infection of other urogenital tract	136
A60.1 Herpesviral infection of perianal skin and rectum	23
A60.9 Anogenital herpesviral infection, unspecified	63
A63.0 Anogenital (venereal) warts	1,211
A63.8 Other specified predominantly sexually transmitted diseases	4
A64 Unspecified sexually transmitted disease	99
A66.9 Yaws, unspecified	1
A68.1 Tick-borne relapsing fever	1
A68.9 Relapsing fever, unspecified	82
A69.0 Necrotizing ulcerative stomatitis	3
A69.1 Other Vincent's infections	11
A69.20 Lyme disease, unspecified	425
A69.21 Meningitis due to Lyme disease	1
A69.22 Other neurologic disorders in Lyme disease	7
A69.23 Arthritis due to Lyme disease	34
A69.29 Other conditions associated with Lyme disease	10
A70 Chlamydia psittaci infections	3
A71.9 Trachoma, unspecified	1
A74.0 Chlamydial conjunctivitis	3
A74.81 Chlamydial peritonitis	1
A74.89 Other chlamydial diseases	3
A74.9 Chlamydial infection, unspecified	580
A77.0 Spotted fever due to Rickettsia rickettsii	7
A77.1 Spotted fever due to Rickettsia conorii	1
A77.40 Ehrlichiosis, unspecified	12
A77.41 Ehrlichiosis chafeensis [E. chafeensis]	1
A77.49 Other ehrlichiosis	74
A78 Q fever	9
A79.81 Rickettsiosis due to Ehrlichia sennetsu	1
A79.89 Other specified rickettsioses	1
A79.9 Rickettsiosis, unspecified	1
A80.30 Acute paralytic poliomyelitis, unspecified	1
A80.9 Acute poliomyelitis, unspecified	32
A81.00 Creutzfeldt-Jakob disease, unspecified	2
A81.2 Progressive multifocal leukoencephalopathy	4
A81.9 Atypical virus infection of central nervous system, unsp	2
A83.3 St Louis encephalitis	1
A83.8 Other mosquito-borne viral encephalitis	1
A85.0 Enteroviral encephalitis	1
A85.8 Other specified viral encephalitis	7
A86 Unspecified viral encephalitis	22
A87.0 Enteroviral meningitis	24
A87.1 Adenoviral meningitis	2
A87.2 Lymphocytic choriomeningitis	4
A87.8 Other viral meningitis	10
A87.9 Viral meningitis, unspecified	71
A88.0 Enteroviral exanthematous fever [Boston exanthem]	2
A88.1 Epidemic vertigo	11
A88.8 Other specified viral infections of central nervous system	1
A89 Unspecified viral infection of central nervous system	1
A90 Dengue fever [classical dengue]	3
A91 Dengue hemorrhagic fever	1
A92.0 Chikungunya virus disease	1
A92.30 West Nile virus infection, unspecified	56
A92.31 West Nile virus infection with encephalitis	35
A92.32 West Nile virus infection with oth neurologic manifestation	15
A92.39 West Nile virus infection with other complications	16
A92.5 Zika virus disease	3
A92.8 Other specified mosquito-borne viral fevers	5
A92.9 Mosquito-borne viral fever, unspecified	1
A93.1 Sandfly fever	1
A93.8 Other specified arthropod-borne viral fevers	41
A94 Unspecified arthropod-borne viral fever	6
A95.0 Sylvatic yellow fever	1
A96.1 Machupo hemorrhagic fever	1
A98.0 Crimean-Congo hemorrhagic fever	1
A98.1 Omsk hemorrhagic fever	4
A98.5 Hemorrhagic fever with renal syndrome	2
A99 Unspecified viral hemorrhagic fever	1
B00.0 Eczema herpeticum	19
B00.1 Herpesviral vesicular dermatitis	3,382
B00.2 Herpesviral gingivostomatitis and pharyngotonsillitis	351
B00.3 Herpesviral meningitis	16
B00.4 Herpesviral encephalitis	28
B00.50 Herpesviral ocular disease, unspecified	16
B00.51 Herpesviral iridocyclitis	3
B00.52 Herpesviral keratitis	122
B00.53 Herpesviral conjunctivitis	17
B00.59 Other herpesviral disease of eye	22
B00.7 Disseminated herpesviral disease	1
B00.81 Herpesviral hepatitis	2
B00.82 Herpes simplex myelitis	1
B00.89 Other herpesviral infection	178
B00.9 Herpesviral infection, unspecified	2,191
B01.0 Varicella meningitis	3
B01.11 Varicella encephalitis and encephalomyelitis	2
B01.89 Other varicella complications	14
B01.9 Varicella without complication	130
B02.0 Zoster encephalitis	7
B02.1 Zoster meningitis	5
B02.21 Postherpetic geniculate ganglionitis	27
B02.22 Postherpetic trigeminal neuralgia	56
B02.23 Postherpetic polyneuropathy	72
B02.29 Other postherpetic nervous system involvement	572
B02.30 Zoster ocular disease, unspecified	136
B02.31 Zoster conjunctivitis	39
B02.32 Zoster iridocyclitis	13
B02.33 Zoster keratitis	65
B02.34 Zoster scleritis	1
B02.39 Other herpes zoster eye disease	47
B02.7 Disseminated zoster	23
B02.8 Zoster with other complications	320
B02.9 Zoster without complications	3,335
B05.9 Measles without complication	3
B06.9 Rubella without complication	1
B07.0 Plantar wart	3,879
B07.8 Other viral warts	2,769
B07.9 Viral wart, unspecified	7,940
B08.02 Orf virus disease	2
B08.03 Pseudocowpox [milker's node]	1
B08.04 Paravaccinia, unspecified	1
B08.1 Molluscum contagiosum	2,046
B08.20 Exanthema subitum [sixth disease], unspecified	47
B08.21 Exanthema subitum [sixth disease] due to human herpesvirus 6	1
B08.22 Exanthema subitum [sixth disease] due to human herpesvirus 7	1
B08.3 Erythema infectiosum [fifth disease]	142
B08.4 Enteroviral vesicular stomatitis with exanthem	1,999
B08.5 Enteroviral vesicular pharyngitis	804
B08.8 Oth viral infections with skin and mucous membrane lesions	4
B09 Unsp viral infection with skin and mucous membrane lesions	1,560
B10.01 Human herpesvirus 6 encephalitis	1
B10.09 Other human herpesvirus encephalitis	4
B10.81 Human herpesvirus 6 infection	2
B10.89 Other human herpesvirus infection	2
B15.9 Hepatitis A without hepatic coma	34
B16.9 Acute hepatitis B w/o delta-agent and without hepatic coma	14
B17.10 Acute hepatitis C without hepatic coma	144
B17.11 Acute hepatitis C with hepatic coma	2
B17.8 Other specified acute viral hepatitis	28
B17.9 Acute viral hepatitis, unspecified	159
B18.0 Chronic viral hepatitis B with delta-agent	11
B18.1 Chronic viral hepatitis B without delta-agent	245
B18.2 Chronic viral hepatitis C	1,779
B18.8 Other chronic viral hepatitis	1
B18.9 Chronic viral hepatitis, unspecified	22
B19.0 Unspecified viral hepatitis with hepatic coma	1
B19.10 Unspecified viral hepatitis B without hepatic coma	232
B19.11 Unspecified viral hepatitis B with hepatic coma	1
B19.20 Unspecified viral hepatitis C without hepatic coma	1,504
B19.21 Unspecified viral hepatitis C with hepatic coma	1
B19.9 Unspecified viral hepatitis without hepatic coma	31
B20 Human immunodeficiency virus [HIV] disease	515
B25.0 Cytomegaloviral pneumonitis	10
B25.1 Cytomegaloviral hepatitis	6
B25.2 Cytomegaloviral pancreatitis	1
B25.8 Other cytomegaloviral diseases	27
B25.9 Cytomegaloviral disease, unspecified	107
B26.0 Mumps orchitis	2
B26.81 Mumps hepatitis	1
B26.85 Mumps arthritis	2
B26.89 Other mumps complications	1
B26.9 Mumps without complication	10
B27.00 Gammaherpesviral mononucleosis without complication	68
B27.09 Gammaherpesviral mononucleosis with other complications	7
B27.10 Cytomegaloviral mononucleosis without complications	9
B27.80 Other infectious mononucleosis without complication	7
B27.89 Other infectious mononucleosis with other complication	6
B27.90 Infectious mononucleosis, unspecified without complication	920
B27.92 Infectious mononucleosis, unspecified with meningitis	2
B27.99 Infectious mononucleosis, unsp with other complication	47
B30.0 Keratoconjunctivitis due to adenovirus	9
B30.1 Conjunctivitis due to adenovirus	5
B30.2 Viral pharyngoconjunctivitis	11
B30.3 Acute epidemic hemorrhagic conjunctivitis (enteroviral)	2
B30.8 Other viral conjunctivitis	24
B30.9 Viral conjunctivitis, unspecified	1,285
B33.0 Epidemic myalgia	5
B33.1 Ross River disease	1
B33.21 Viral endocarditis	2
B33.22 Viral myocarditis	10
B33.23 Viral pericarditis	7
B33.24 Viral cardiomyopathy	15
B33.8 Other specified viral diseases	62
B34.0 Adenovirus infection, unspecified	53
B34.1 Enterovirus infection, unspecified	127
B34.2 Coronavirus infection, unspecified	50
B34.3 Parvovirus infection, unspecified	24
B34.8 Other viral infections of unspecified site	342
B34.9 Viral infection, unspecified	9,523
B35.0 Tinea barbae and tinea capitis	414
B35.1 Tinea unguium	7,192
B35.2 Tinea manuum	69
B35.3 Tinea pedis	2,190
B35.4 Tinea corporis	2,437
B35.5 Tinea imbricata	1
B35.6 Tinea cruris	922
B35.8 Other dermatophytoses	104
B35.9 Dermatophytosis, unspecified	933
B36.0 Pityriasis versicolor	1,206
B36.1 Tinea nigra	1
B36.2 White piedra	1
B36.3 Black piedra	1
B36.8 Other specified superficial mycoses	33
B36.9 Superficial mycosis, unspecified	660
B37.0 Candidal stomatitis	4,168
B37.1 Pulmonary candidiasis	26
B37.2 Candidiasis of skin and nail	4,323
B37.3 Candidiasis of vulva and vagina	4,717
B37.41 Candidal cystitis and urethritis	99
B37.42 Candidal balanitis	87
B37.49 Other urogenital candidiasis	387
B37.5 Candidal meningitis	3
B37.6 Candidal endocarditis	4
B37.7 Candidal sepsis	51
B37.81 Candidal esophagitis	338
B37.82 Candidal enteritis	5
B37.83 Candidal cheilitis	7
B37.84 Candidal otitis externa	3
B37.89 Other sites of candidiasis	433
B37.9 Candidiasis, unspecified	2,626
B38.0 Acute pulmonary coccidioidomycosis	2
B38.1 Chronic pulmonary coccidioidomycosis	4
B38.2 Pulmonary coccidioidomycosis, unspecified	24
B38.4 Coccidioidomycosis meningitis	1
B38.7 Disseminated coccidioidomycosis	4
B38.9 Coccidioidomycosis, unspecified	21
B39.0 Acute pulmonary histoplasmosis capsulati	7
B39.1 Chronic pulmonary histoplasmosis capsulati	6
B39.2 Pulmonary histoplasmosis capsulati, unspecified	50
B39.3 Disseminated histoplasmosis capsulati	3
B39.4 Histoplasmosis capsulati, unspecified	16
B39.9 Histoplasmosis, unspecified	125
B40.0 Acute pulmonary blastomycosis	4
B40.1 Chronic pulmonary blastomycosis	2
B40.2 Pulmonary blastomycosis, unspecified	19
B40.3 Cutaneous blastomycosis	2
B40.7 Disseminated blastomycosis	7
B40.9 Blastomycosis, unspecified	24
B42.0 Pulmonary sporotrichosis	1
B42.9 Sporotrichosis, unspecified	3
B43.0 Cutaneous chromomycosis	2
B43.2 Subcutaneous pheomycotic abscess and cyst	12
B44.0 Invasive pulmonary aspergillosis	7
B44.1 Other pulmonary aspergillosis	45
B44.2 Tonsillar aspergillosis	1
B44.81 Allergic bronchopulmonary aspergillosis	15
B44.89 Other forms of aspergillosis	10
B44.9 Aspergillosis, unspecified	81
B45.0 Pulmonary cryptococcosis	7
B45.1 Cerebral cryptococcosis	9
B45.7 Disseminated cryptococcosis	3
B45.8 Other forms of cryptococcosis	1
B45.9 Cryptococcosis, unspecified	9
B46.1 Rhinocerebral mucormycosis	1
B46.9 Zygomycosis, unspecified	1
B47.0 Eumycetoma	3
B47.9 Mycetoma, unspecified	1
B48.2 Allescheriasis	1
B48.4 Penicillosis	1
B48.8 Other specified mycoses	27
B49 Unspecified mycosis	278
B50.9 Plasmodium falciparum malaria, unspecified	5
B52.9 Plasmodium malariae malaria without complication	1
B53.0 Plasmodium ovale malaria	2
B53.1 Malaria due to simian plasmodia	1
B53.8 Other malaria, not elsewhere classified	2
B54 Unspecified malaria	16
B55.9 Leishmaniasis, unspecified	1
B57.1 Acute Chagas' disease without heart involvement	1
B58.00 Toxoplasma oculopathy, unspecified	2
B58.01 Toxoplasma chorioretinitis	12
B58.09 Other toxoplasma oculopathy	1
B58.1 Toxoplasma hepatitis	1
B58.2 Toxoplasma meningoencephalitis	6
B58.89 Toxoplasmosis with other organ involvement	3
B58.9 Toxoplasmosis, unspecified	18
B59 Pneumocystosis	73
B60.0 Babesiosis	15
B65.0 Schistosomiasis due to Schistosoma haematobium	1
B65.3 Cercarial dermatitis	67
B65.9 Schistosomiasis, unspecified	1
B67.5 Echinococcus multilocularis infection of liver	1
B67.90 Echinococcosis, unspecified	1
B68.9 Taeniasis, unspecified	2
B69.0 Cysticercosis of central nervous system	4
B69.1 Cysticercosis of eye	1
B69.89 Cysticercosis of other sites	1
B70.1 Sparganosis	1
B71.0 Hymenolepiasis	1
B71.9 Cestode infection, unspecified	5
B73.09 Onchocerciasis with other eye involvement	1
B73.1 Onchocerciasis without eye disease	1
B74.1 Filariasis due to Brugia malayi	2
B74.4 Mansonelliasis	1
B74.8 Other filariases	1
B74.9 Filariasis, unspecified	2
B76.9 Hookworm disease, unspecified	7
B77.9 Ascariasis, unspecified	10
B78.9 Strongyloidiasis, unspecified	1
B80 Enterobiasis	145
B81.4 Mixed intestinal helminthiases	1
B82.0 Intestinal helminthiasis, unspecified	13
B82.9 Intestinal parasitism, unspecified	23
B83.0 Visceral larva migrans	1
B83.2 Angiostrongyliasis due to Parastrongylus cantonensis	1
B83.8 Other specified helminthiases	1
B83.9 Helminthiasis, unspecified	88
B85.0 Pediculosis due to Pediculus humanus capitis	641
B85.1 Pediculosis due to Pediculus humanus corporis	5
B85.2 Pediculosis, unspecified	276
B85.3 Phthiriasis	9
B85.4 Mixed pediculosis and phthiriasis	4
B86 Scabies	1,207
B87.0 Cutaneous myiasis	4
B87.1 Wound myiasis	3
B87.9 Myiasis, unspecified	3
B88.0 Other acariasis	92
B88.1 Tungiasis [sandflea infestation]	2
B88.2 Other arthropod infestations	79
B88.3 External hirudiniasis	8
B88.8 Other specified infestations	27
B88.9 Infestation, unspecified	27
B89 Unspecified parasitic disease	17
B90.9 Sequelae of respiratory and unspecified tuberculosis	1
B91 Sequelae of poliomyelitis	63
B94.1 Sequelae of viral encephalitis	9
B94.8 Sequelae of oth infectious and parasitic diseases	26
B94.9 Sequelae of unspecified infectious and parasitic disease	19
B95.0 Streptococcus, group A, causing diseases classd elswhr	1,282
B95.1 Streptococcus, group B, causing diseases classd elswhr	413
B95.2 Enterococcus as the cause of diseases classified elsewhere	703
B95.3 Streptococcus pneumoniae causing diseases classd elswhr	96
B95.4 Oth streptococcus as the cause of diseases classd elswhr	403
B95.5 Unsp streptococcus as the cause of diseases classd elswhr	298
B95.61 Methicillin suscep staph infct causing dis classd elswhr	909
B95.62 Methicillin resis staph infct causing diseases classd elswhr	764
B95.7 Oth staphylococcus as the cause of diseases classd elswhr	445
B95.8 Unsp staphylococcus as the cause of diseases classd elswhr	598
B96.0 Mycoplasma pneumoniae as the cause of diseases classd elswhr	15
B96.1 Klebsiella pneumoniae as the cause of diseases classd elswhr	734
B96.20 Unsp Escherichia coli as the cause of diseases classd elswhr	2,498
B96.21 Shiga toxin E coli (STEC) O157 causing dis classd elswhr	25
B96.22 Oth shiga toxin E coli (STEC) causing diseases classd elswhr	3
B96.23 Unsp shiga toxin E coli (STEC) causing dis classd elswhr	20
B96.29 Oth Escherichia coli as the cause of diseases classd elswhr	56
B96.3 Hemophilus influenzae as the cause of diseases classd elswhr	92
B96.4 Proteus (mirabilis) (morganii) causing dis classd elswhr	227
B96.5 Pseudomonas (mallei) causing diseases classd elswhr	500
B96.6 Bacteroides fragilis as the cause of diseases classd elswhr	35
B96.7 Clostridium perfringens causing diseases classd elswhr	30
B96.81 Helicobacter pylori as the cause of diseases classd elswhr	632
B96.82 Vibrio vulnificus as the cause of diseases classd elswhr	3
B96.89 Oth bacterial agents as the cause of diseases classd elswhr	11,300
B97.0 Adenovirus as the cause of diseases classified elsewhere	51
B97.10 Unsp enterovirus as the cause of diseases classd elswhr	168
B97.11 Coxsackievirus as the cause of diseases classified elsewhere	13
B97.12 Echovirus as the cause of diseases classified elsewhere	3
B97.19 Oth enterovirus as the cause of diseases classd elswhr	26
B97.29 Oth coronavirus as the cause of diseases classd elswhr	80
B97.30 Unsp retrovirus as the cause of diseases classd elswhr	2
B97.33 HTLV-I as the cause of diseases classified elsewhere	1
B97.35 HIV 2 as the cause of diseases classified elsewhere	2
B97.4 Respiratory syncytial virus causing diseases classd elswhr	693
B97.5 Reovirus as the cause of diseases classified elsewhere	2
B97.6 Parvovirus as the cause of diseases classified elsewhere	7
B97.7 Papillomavirus as the cause of diseases classified elsewhere	142
B97.81 Human metapneumovirus as the cause of diseases classd elswhr	92
B97.89 Oth viral agents as the cause of diseases classd elswhr	35,655
B99.8 Other infectious disease	43
B99.9 Unspecified infectious disease	1,066
C00.0 Malignant neoplasm of external upper lip	2
C00.1 Malignant neoplasm of external lower lip	15
C00.2 Malignant neoplasm of external lip, unspecified	1
C00.3 Malignant neoplasm of upper lip, inner aspect	1
C00.4 Malignant neoplasm of lower lip, inner aspect	7
C00.5 Malignant neoplasm of lip, unspecified, inner aspect	1
C00.6 Malignant neoplasm of commissure of lip, unspecified	9
C00.8 Malignant neoplasm of overlapping sites of lip	1
C00.9 Malignant neoplasm of lip, unspecified	17
C01 Malignant neoplasm of base of tongue	142
C02.0 Malignant neoplasm of dorsal surface of tongue	2
C02.1 Malignant neoplasm of border of tongue	34
C02.2 Malignant neoplasm of ventral surface of tongue	7
C02.3 Malig neoplasm of anterior two-thirds of tongue, part unsp	11
C02.4 Malignant neoplasm of lingual tonsil	3
C02.8 Malignant neoplasm of overlapping sites of tongue	8
C02.9 Malignant neoplasm of tongue, unspecified	187
C03.0 Malignant neoplasm of upper gum	4
C03.1 Malignant neoplasm of lower gum	2
C03.9 Malignant neoplasm of gum, unspecified	7
C04.0 Malignant neoplasm of anterior floor of mouth	6
C04.1 Malignant neoplasm of lateral floor of mouth	3
C04.8 Malignant neoplasm of overlapping sites of floor of mouth	1
C04.9 Malignant neoplasm of floor of mouth, unspecified	34
C05.0 Malignant neoplasm of hard palate	8
C05.1 Malignant neoplasm of soft palate	11
C05.2 Malignant neoplasm of uvula	1
C05.8 Malignant neoplasm of overlapping sites of palate	3
C05.9 Malignant neoplasm of palate, unspecified	12
C06.0 Malignant neoplasm of cheek mucosa	37
C06.1 Malignant neoplasm of vestibule of mouth	3
C06.2 Malignant neoplasm of retromolar area	17
C06.89 Malignant neoplasm of overlapping sites of oth prt mouth	5
C06.9 Malignant neoplasm of mouth, unspecified	121
C07 Malignant neoplasm of parotid gland	102
C08.0 Malignant neoplasm of submandibular gland	11
C08.1 Malignant neoplasm of sublingual gland	1
C08.9 Malignant neoplasm of major salivary gland, unspecified	24
C09.0 Malignant neoplasm of tonsillar fossa	24
C09.1 Malig neoplasm of tonsillar pillar (anterior) (posterior)	4
C09.8 Malignant neoplasm of overlapping sites of tonsil	10
C09.9 Malignant neoplasm of tonsil, unspecified	172
C10.0 Malignant neoplasm of vallecula	1
C10.2 Malignant neoplasm of lateral wall of oropharynx	2
C10.3 Malignant neoplasm of posterior wall of oropharynx	2
C10.8 Malignant neoplasm of overlapping sites of oropharynx	9
C10.9 Malignant neoplasm of oropharynx, unspecified	130
C11.0 Malignant neoplasm of superior wall of nasopharynx	3
C11.1 Malignant neoplasm of posterior wall of nasopharynx	10
C11.8 Malignant neoplasm of overlapping sites of nasopharynx	1
C11.9 Malignant neoplasm of nasopharynx, unspecified	31
C12 Malignant neoplasm of pyriform sinus	11
C13.0 Malignant neoplasm of postcricoid region	3
C13.1 Malig neoplasm of aryepiglottic fold, hypopharyngeal aspect	7
C13.2 Malignant neoplasm of posterior wall of hypopharynx	4
C13.8 Malignant neoplasm of overlapping sites of hypopharynx	7
C13.9 Malignant neoplasm of hypopharynx, unspecified	36
C14.0 Malignant neoplasm of pharynx, unspecified	44
